id,currency_value_formatted,last_updated,currency_name,currency_value,currency_code
10283298,"84,028.10499990",2025-04-13 09:53:14.672112,Bitcoin,84028.104999901700000000,BTC
10283199,"84,045.64000002",2025-04-13 09:52:59.683303,Bitcoin,84045.640000022400000000,BTC
10283137,"84,026.00500007",2025-04-13 09:52:34.656832,Bitcoin,84026.005000071000000000,BTC
10283092,"84,026.93999968",2025-04-13 09:52:19.702525,Bitcoin,84026.939999677400000000,BTC
10283004,"84,020.76499988",2025-04-13 09:52:04.672471,Bitcoin,84020.764999879200000000,BTC
10282944,"83,983.11000034",2025-04-13 09:51:44.672249,Bitcoin,83983.110000337700000000,BTC
10282887,"83,993.62500021",2025-04-13 09:51:29.658922,Bitcoin,83993.625000210500000000,BTC
10282825,"83,975.43500009",2025-04-13 09:51:14.701981,Bitcoin,83975.435000087300000000,BTC
10282736,"83,960.57999973",2025-04-13 09:51:04.681989,Bitcoin,83960.579999728600000000,BTC
10282675,"83,933.40499978",2025-04-13 09:50:49.674142,Bitcoin,83933.404999782200000000,BTC
10282618,"83,927.02500013",2025-04-13 09:50:29.733746,Bitcoin,83927.025000134300000000,BTC
10282564,"83,946.43000012",2025-04-13 09:50:14.652173,Bitcoin,83946.430000122200000000,BTC
10282484,"83,931.83500022",2025-04-13 09:49:59.725891,Bitcoin,83931.835000216000000000,BTC
10282434,"83,942.71500000",2025-04-13 09:49:49.680797,Bitcoin,83942.714999998500000000,BTC
